1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
595	-0.153204	196.985589	0.004634	8.7
596	-0.000000	196.815969	0.000000	11.7
597	-0.740727	196.646738	0.009965	14.2
598	-1.486982	196.477894	0.020761	10.4
599	-0.367148	196.309436	0.007907	8.7
600	-0.320476	196.141363	0.004623	12.3
601	-1.073415	195.973673	0.009251	11.9
602	-0.000684	195.806365	0.000121	8.1
603	-1.723245	195.639437	0.021928	10.7
604	-1.920776	195.472888	0.008845	8.6
605	-1.104570	195.306717	0.009385	9.0
606	-1.715298	195.140922	0.038709	9.1
607	-0.000000	194.975501	0.000000	9.9
608	-1.511158	194.810454	0.013786	11.5
609	-0.791311	194.645779	0.007276	13.0
610	-0.108374	194.481475	0.004688	12.8
611	-1.126240	194.317540	0.011700	10.4
612	-0.000000	194.153973	0.000000	11.4
613	-0.000007	193.990773	0.000002	18.8
614	-0.641635	193.827938	0.012683	14.5
615	-0.877554	193.665467	0.029436	15.2
616	-0.800961	193.503358	0.010151	11.6
617	-0.006033	193.341611	0.000701	11.3
618	-0.111750	193.180224	0.005186	12.9
619	-0.078916	193.019196	0.003062	9.8
620	-0.000588	192.858525	0.000135	9.6
621	-1.266848	192.698210	0.027322	11.3
622	-1.814807	192.538251	0.027755	9.6
623	-1.774100	192.378644	0.020881	9.5
624	-0.000439	192.219391	0.000083	9.6
625	-0.538983	192.060488	0.008230	9.2
626	-1.496723	191.901935	0.018266	9.8
627	-0.091274	191.743730	0.002170	8.6
628	-1.835994	191.585873	0.012538	10.6
629	-0.728758	191.428362	0.009493	11.2
630	-1.497213	191.271196	0.009191	10.6
631	-1.569481	191.114374	0.018134	8.4
632	-1.851409	190.957893	0.016171	9.3
633	-0.003733	190.801755	0.000452	8.3
634	-1.896245	190.645956	0.015700	9.0
635	-0.082408	190.490495	0.002125	10.4
636	-1.409999	190.335373	0.010796	10.0
637	-1.666865	190.180587	0.025923	10.0
638	-0.000000	190.026136	0.000000	7.7
639	-1.579247	189.872019	0.015649	9.3
640	-0.112318	189.718235	0.004190	9.6
641	-1.715172	189.564782	0.016341	12.3
642	-0.000000	189.411661	0.000000	9.7
643	-1.776112	189.258868	0.023982	11.4
644	-0.039052	189.106404	0.000941	11.2
645	-1.432064	188.954267	0.012685	10.0
646	-0.082016	188.802456	0.002692	10.3
647	-0.114292	188.650969	0.001868	11.5
648	-0.687027	188.499807	0.008867	9.8
649	-0.000000	188.348967	0.000000	11.0
650	-1.625990	188.198448	0.018409	10.8
651	-1.733863	188.048250	0.018051	10.6
652	-0.520928	187.898371	0.006086	9.5
653	-0.000025	187.748810	0.000006	8.6
654	-0.972853	187.599566	0.037973	9.8
655	-1.223578	187.450638	0.008382	9.4
656	-0.818017	187.302025	0.019594	10.9
657	-1.864168	187.153725	0.015348	17.9
658	-0.550892	187.005739	0.007454	7.5
659	-0.896576	186.858064	0.007156	10.7
660	-1.874893	186.710699	0.012165	8.3
661	-0.000000	186.563645	0.000000	13.5
662	-0.000007	186.416898	0.000002	8.7
663	-1.835576	186.270459	0.028491	8.7
664	-1.771062	186.124326	0.012178	8.3
665	-0.378048	185.978499	0.006549	9.1
666	-1.195172	185.832976	0.023118	9.9
667	-1.557147	185.687756	0.011990	8.8
668	-1.460591	185.542838	0.010396	9.3
669	-0.023780	185.398222	0.001092	8.6
670	-0.278948	185.253906	0.006186	8.9
671	-0.000000	185.109889	0.000000	8.9
672	-0.618442	184.966170	0.004922	8.6
673	-0.019226	184.822748	0.001180	10.4
674	-0.714751	184.679623	0.012942	7.9
675	-0.000000	184.536792	0.000000	8.4
676	-0.000000	184.394256	0.000000	8.2
677	-1.452893	184.252013	0.027313	7.2
678	-0.000338	184.110062	0.000063	8.5
679	-0.283898	183.968403	0.007084	8.0
680	-0.005687	183.827034	0.000944	8.6
681	-0.140623	183.685954	0.004822	8.7
682	-1.612604	183.545163	0.010972	8.2
683	-0.421694	183.404658	0.005750	8.2
684	-1.246311	183.264441	0.011391	8.3
